date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:08	133466/133466	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2009:30:06%20GMT	https://rossfairgrieve.com/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/index.html	(from )
10:30:08	112/112	---MCZ	200	added ('OK')	text/plain	date:Mon,%2015%20Oct%202018%2009:30:08%20GMT	https://rossfairgrieve.com/robots.txt		(from )
10:30:10	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2015%20Oct%202018%2009:30:10%20GMT	https://rossfairgrieve.com/xmlrpc.php	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/xmlrpc.php	(from https://rossfairgrieve.com/)
10:30:12	11232/11232	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202018%2011:13:27%20GMT	https://rossfairgrieve.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.6-78496d1	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min45a0.css	(from https://rossfairgrieve.com/)
10:30:13	9117/9117	---MC-	200	added ('OK')	application/rss+xml	etag:%225e03bd9ae0ac4d01f2c15b7d89637e57%22	https://rossfairgrieve.com/feed/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/feed/index.html	(from https://rossfairgrieve.com/)
10:30:13	4068/4068	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202018%2011:13:27%20GMT	https://rossfairgrieve.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=4.9.8	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-includes/js/mediaelement/wp-mediaelement.min5010.css	(from https://rossfairgrieve.com/)
10:30:13	3085/3085	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2015:44:28%20GMT	https://rossfairgrieve.com/wp-content/themes/brooklyn/css/flexslider.min.css?ver=4.9.8	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/themes/brooklyn/css/flexslider.min5010.css	(from https://rossfairgrieve.com/)
10:30:14	17856/17856	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2015:44:28%20GMT	https://rossfairgrieve.com/wp-content/themes/brooklyn/css/ut.portfolio.style.min.css?ver=4.9.8	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/themes/brooklyn/css/ut.portfolio.style.min5010.css	(from https://rossfairgrieve.com/)
10:30:14	747/747	---MC-	200	added ('OK')	application/rss+xml	etag:%222e6ca9594ee7467dc3c30a804dbaf2c5%22	https://rossfairgrieve.com/welcome/feed/	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/welcome/feed/index.html	(from https://rossfairgrieve.com/)
10:30:14	16350/16350	---MCZ	200	added ('OK')	text/css	date:Wed,%2011%20Oct%202017%2015:49:07%20GMT	https://rossfairgrieve.com/wp-content/plugins/ut-portfolio/assets/vendor/lightGallery/css/lightgallery.min.css?ver=4.9.8	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/ut-portfolio/assets/vendor/lightGallery/css/lightgallery.min5010.css	(from https://rossfairgrieve.com/)
